material,LCstage,disposition,impactCategory,impactUnits,impactFactor,corporateSource,impactFactorID
Aluminum,endOfLife,incinerationNoER_transport,Ecotoxicity (recommended only),CTUe,0.122390793,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,"Human toxicity, cancer (recommended and interim)",CTUh,3.43E-07,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,"Human toxicity, cancer (recommended only)",CTUh,1.03E-10,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,"Human toxicity, non-canc. (recommended and interim)",CTUh,1.04E-06,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,"Human toxicity, non-canc. (recommended only)",CTUh,3.35E-11,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,high characterization factor for unspecified water,m3 world equiv.,1.251647126,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,low characterization factor for unspecified water,m3 world equiv.,1.176105775,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,OECD+BRIC average for unspecified water,m3 world equiv.,1.220703368,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Blue water consumption,kg,39.13192257,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Blue water use,kg,673.2348049,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Total freshwater consumption (including rainwater),kg,252.5370488,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Total freshwater use,kg,886.6488855,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,high characterization factor for unspecified water,m3 equiv.,0.018637582,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,low characterization factor for unspecified water,m3 equiv.,0.017679191,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,OECD+BRIC average for unspecified water,m3 equiv.,0.01800905,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,732.2974495,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,680.4311394,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Primary energy from non renewable resources (gross cal. value),MJ,688.6626402,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Primary energy from non renewable resources (net cal. value),MJ,636.7963302,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Primary energy from renewable resources (gross cal. value),MJ,43.63480929,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Primary energy from renewable resources (net cal. value),MJ,43.63480929,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,40.52220872,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,39.7640939,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.029445647,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Acidification,kg SO2 eq.,0.185538123,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Ecotoxicity (recommended),CTUe,3.494179452,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Eutrophication,kg N eq.,0.009416569,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,40.49276307,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,39.73464826,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.133330895,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,"Human toxicity, cancer (recommended)",CTUh,1.73E-07,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,"Human toxicity, non-canc. (recommended)",CTUh,1.97E-05,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Ozone Depletion Air,kg CFC 11 eq.,6.20E-10,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,"Resources, Fossil fuels",MJ surplus energy,79.69702569,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Smog Air,kg O3 eq.,3.660878546,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Ecotoxicity (recommended and interim),CTUe,1034.942389,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Ecotoxicity (recommended only),CTUe,0.170312366,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,"Human toxicity, cancer (recommended and interim)",CTUh,2.14E-06,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,"Human toxicity, cancer (recommended only)",CTUh,7.25E-10,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,"Human toxicity, non-canc. (recommended and interim)",CTUh,2.97E-05,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,"Human toxicity, non-canc. (recommended only)",CTUh,5.28E-11,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,high characterization factor for unspecified water,m3 world equiv.,2.778447062,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,low characterization factor for unspecified water,m3 world equiv.,1.113406877,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,OECD+BRIC average for unspecified water,m3 world equiv.,2.096402068,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Blue water consumption,kg,78.62329956,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Blue water use,kg,18626.95116,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Total freshwater consumption (including rainwater),kg,-176.3912247,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,Total freshwater use,kg,20430.23678,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,high characterization factor for unspecified water,m3 equiv.,0.04132702,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,low characterization factor for unspecified water,m3 equiv.,0.020202693,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling,OECD+BRIC average for unspecified water,m3 equiv.,0.027473264,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,356.5402158,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,332.3647002,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Primary energy from non renewable resources (gross cal. value),MJ,348.6432676,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Primary energy from non renewable resources (net cal. value),MJ,324.4677521,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Primary energy from renewable resources (gross cal. value),MJ,7.896948128,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Primary energy from renewable resources (net cal. value),MJ,7.896948128,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,22.87079102,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,22.9869726,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.026023649,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Acidification,kg SO2 eq.,0.091179481,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Ecotoxicity (recommended),CTUe,2.863706382,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Eutrophication,kg N eq.,0.007808717,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,22.84476737,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,22.96094895,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Human Health Particulate Air,kg PM2.5 eq.,0.005211376,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,"Human toxicity, cancer (recommended)",CTUh,1.22E-08,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,"Human toxicity, non-canc. (recommended)",CTUh,9.04E-07,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Ozone Depletion Air,kg CFC 11 eq.,1.58E-10,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,"Resources, Fossil fuels",MJ surplus energy,43.56263032,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
